Gene_ID	par_rep1	par_rep2	per_rep1	per_rep2	per_rep3
ENSG00000175262.10	105	119	47	65	57
ENSG00000215785.2	1	9	10	13	15
ENSG00000264181.1	0	0	0	0	3
ENSG00000207213.1	0	0	0	1	0
ENSG00000120948.11	23155	23614	17422	18212	16153
ENSG00000009724.12	295	242	487	596	575
ENSG00000271895.1	220	169	428	466	495
ENSG00000116649.5	8175	7950	3287	3668	3424
ENSG00000171824.9	7989	8437	8610	9286	8969
ENSG00000226849.1	28	27	38	42	30
ENSG00000230337.1	15	20	15	19	12
ENSG00000198793.8	11012	11700	9299	9740	8356
ENSG00000225602.1	3	1	2	1	1
ENSG00000253086.1	0	0	1	1	0
ENSG00000271794.1	0	0	1	0	0
ENSG00000171819.4	2	4	2	3	1
ENSG00000207451.1	0	0	0	0	0
ENSG00000238173.1	0	4	0	0	4
ENSG00000120942.9	2765	2708	2500	2905	2384
ENSG00000238199.1	10	14	6	17	9
ENSG00000224338.2	0	0	0	0	0
ENSG00000204624.6	320	342	428	547	495
ENSG00000235643.1	10	7	0	0	0
ENSG00000116661.9	206	179	213	269	236
ENSG00000132879.9	1853	1699	2035	2201	2288
ENSG00000116663.6	1053	961	605	642	663
ENSG00000116670.10	2973	2809	1595	1827	1720
ENSG00000162490.6	32	33	25	57	39
ENSG00000177674.11	2136	1988	1669	1845	1638
ENSG00000215910.3	1	3	2	2	0
ENSG00000177553.6	0	0	0	0	0
ENSG00000177000.6	2337	2247	3690	4345	4236
ENSG00000011021.17	2086	1994	3779	4262	3875
ENSG00000242349.1	80	76	94	92	104
ENSG00000175206.6	28	11	15	28	31
ENSG00000120937.8	0	1	2	1	0
ENSG00000224904.1	5	2	2	5	2
ENSG00000199347.1	3	1	0	0	1
ENSG00000201801.1	0	0	2	1	1
ENSG00000116685.11	3218	3105	2576	2821	2682
ENSG00000083444.12	8592	7849	3635	3951	3508
ENSG00000116688.12	14570	14437	10447	11016	10014
ENSG00000270914.1	1	2	0	0	0
ENSG00000116691.6	2132	2057	898	1130	1131
ENSG00000202461.1	3	6	7	4	5
ENSG00000243539.2	0	0	0	0	0
ENSG00000120949.10	2	0	0	0	2
ENSG00000201135.1	0	0	0	0	0
ENSG00000227875.2	1	1	1	1	1
ENSG00000028137.12	0	3	5	4	0
ENSG00000263676.1	0	0	0	0	0
ENSG00000225196.2	0	0	3	1	2
ENSG00000252969.1	0	0	0	0	0
ENSG00000048707.9	10481	11501	10997	12510	9776
ENSG00000239149.1	8	6	11	7	15
ENSG00000229484.1	0	0	0	0	0
ENSG00000162496.4	849	792	654	811	600
ENSG00000221340.1	0	0	2	1	0
ENSG00000272482.1	1	2	1	1	0
ENSG00000204518.2	1	0	0	0	0
ENSG00000226166.2	0	0	0	0	1
ENSG00000188984.7	0	2	0	0	0
ENSG00000238771.1	0	0	0	0	0
ENSG00000157330.5	3	2	2	1	0
ENSG00000116726.4	0	0	0	0	0
ENSG00000116721.9	0	0	0	0	0
ENSG00000228338.1	0	0	0	0	0
ENSG00000204513.5	0	0	0	0	0
ENSG00000231103.2	0	0	1	0	0
ENSG00000179172.7	6	10	6	6	3
ENSG00000120952.4	0	0	0	0	0
ENSG00000243073.3	0	0	0	0	0
ENSG00000187545.5	0	0	0	0	0
ENSG00000204510.1	0	0	0	0	0
ENSG00000207434.1	0	0	0	0	0
ENSG00000234064.1	0	0	0	0	0
ENSG00000232423.3	0	0	0	0	0
ENSG00000250894.1	0	0	0	0	0
ENSG00000204508.3	0	0	0	0	0
ENSG00000239810.2	0	0	0	0	0
ENSG00000270601.1	0	0	0	0	0
ENSG00000250113.1	0	0	0	0	0
ENSG00000204505.3	0	0	0	0	0
ENSG00000233336.1	0	0	0	0	0
ENSG00000229978.1	0	0	0	0	0
ENSG00000236179.1	0	0	0	0	0
ENSG00000179412.8	1	3	7	1	2
ENSG00000224199.1	0	0	0	0	0
ENSG00000229571.2	0	0	0	0	0
ENSG00000204503.5	0	0	0	0	0
ENSG00000233394.1	0	0	0	0	0
ENSG00000204502.2	0	0	0	0	0
ENSG00000231219.1	0	0	0	0	0
ENSG00000207511.1	0	0	0	0	0
ENSG00000182330.6	0	0	0	0	0
ENSG00000237700.1	0	0	0	0	0
ENSG00000204501.2	0	0	0	0	0
ENSG00000228229.2	0	0	0	0	0
ENSG00000204495.3	0	0	0	0	0
ENSG00000204491.2	0	0	0	0	0
ENSG00000204488.3	0	0	0	0	0
ENSG00000204486.3	0	0	0	0	0
ENSG00000204485.2	0	0	0	0	0
ENSG00000224581.1	0	0	0	0	0
ENSG00000157358.7	0	0	0	0	0
ENSG00000204481.6	0	0	0	0	0
ENSG00000204480.6	0	0	0	0	0
ENSG00000204479.4	0	0	0	0	0
ENSG00000204478.5	0	0	0	0	0
ENSG00000162494.5	0	0	0	1	0
ENSG00000259961.1	0	0	0	0	0
ENSG00000215909.3	0	1	0	0	0
ENSG00000162493.12	1	6	2	4	0
ENSG00000222952.1	0	0	0	0	0
ENSG00000266358.1	0	0	0	0	0
ENSG00000237445.2	0	0	0	0	0
ENSG00000253085.1	0	0	2	0	0
ENSG00000116731.18	5384	5866	7076	7976	7405
ENSG00000252151.1	0	0	0	0	0
ENSG00000231606.1	3	2	4	1	3
ENSG00000234593.1	4	7	2	1	2
ENSG00000189337.11	3862	3798	4648	5867	4706
ENSG00000235829.1	1	0	1	0	0
ENSG00000175147.7	22	24	53	83	95
ENSG00000171729.9	1400	1309	1452	1591	1551
ENSG00000204464.3	0	2	1	4	2
ENSG00000215720.4	1	1	2	3	0
ENSG00000142621.15	82	80	32	46	24
ENSG00000233485.1	0	0	0	0	0
ENSG00000236045.1	1	0	0	0	1
ENSG00000228140.1	10	4	5	12	13
ENSG00000142634.8	4737	4482	3025	3468	3353
ENSG00000162438.7	5	7	1	2	4
ENSG00000142615.7	1	0	2	2	2
ENSG00000215704.5	3	3	0	3	1
ENSG00000132906.13	766	744	641	662	677
ENSG00000116138.8	2637	2994	3734	4518	3995
ENSG00000251866.1	0	1	1	0	0
ENSG00000272510.1	1	3	3	4	4
ENSG00000116771.5	9	21	17	18	21
ENSG00000237301.1	13	7	34	35	21
ENSG00000235084.2	46	35	29	29	29
ENSG00000252417.1	0	0	0	0	0
ENSG00000236500.1	2	0	0	0	1
ENSG00000197312.7	9041	9549	12496	14773	12226
ENSG00000215695.1	0	0	0	0	0
ENSG00000271742.1	2	0	1	0	0
ENSG00000116786.7	4445	4195	4669	5371	4837
ENSG00000264048.1	0	0	0	0	0
ENSG00000237938.1	29	27	51	45	39
ENSG00000162461.7	19	8	14	33	20
ENSG00000224459.1	0	0	0	0	0
ENSG00000162460.6	0	0	0	0	0
ENSG00000162458.8	930	883	978	1137	1080
ENSG00000224321.1	3	6	3	10	6
ENSG00000233954.4	101	81	62	63	68
ENSG00000178715.7	249	243	244	267	237
ENSG00000179743.2	253	235	276	298	251
ENSG00000065526.6	12867	13495	14255	16860	14471
ENSG00000238818.1	1	0	0	0	0
ENSG00000270620.1	0	3	1	0	0
ENSG00000116809.7	2863	2703	2114	2547	2287
ENSG00000234607.2	2	0	1	1	1
ENSG00000231353.1	0	0	0	0	0
ENSG00000224966.4	0	0	2	1	0
ENSG00000183888.4	2975	2875	766	784	744
ENSG00000233078.1	0	0	0	0	0
ENSG00000173641.13	77	75	62	78	59
ENSG00000186510.7	125	107	96	119	131
ENSG00000232456.1	0	0	4	3	3
ENSG00000184908.13	6	7	0	2	2
ENSG00000185519.8	22	12	28	36	31
ENSG00000142627.9	3965	2868	958	1170	1326
ENSG00000227959.1	19	8	7	12	8
ENSG00000224621.1	3	5	4	4	6
ENSG00000234166.1	0	0	0	0	0
ENSG00000142632.12	1068	1001	273	324	344
ENSG00000237276.4	13	14	29	25	43
ENSG00000204377.3	54	50	65	52	62
ENSG00000132881.7	234	208	246	284	300
ENSG00000233929.1	17	10	7	9	7
ENSG00000037637.6	3866	3670	3362	3580	3434
ENSG00000055070.12	11194	10693	7903	8447	7409
ENSG00000226457.1	26	9	26	21	20
ENSG00000187144.7	7	2	5	7	9
ENSG00000157191.15	3408	3291	4572	4783	4764
ENSG00000226029.1	104	111	236	281	271
ENSG00000080947.10	223	257	478	572	572
ENSG00000206652.1	0	0	0	1	3
ENSG00000261135.1	3	5	12	17	14
ENSG00000224174.2	0	0	1	0	0
